GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xlator,com.fns.xlator.model,TranslationRequest,21,0,0,0,8,0,4,0,4,0
xlator,com.fns.xlator.model,ErrorResponse,30,0,0,0,11,0,6,0,6,0
xlator,com.fns.xlator.model,Translation,27,0,0,0,10,0,5,0,5,0
xlator,com.fns.xlator.model,Translations,15,0,0,0,6,0,3,0,3,0
xlator,com.fns.xlator.client.api,CacheService,26,11,0,0,3,4,1,1,1,1
xlator,com.fns.xlator.client.config,ClientConfig.FrenglyConverter,59,11,12,0,17,2,10,1,4,1
xlator,com.fns.xlator.client.config,AppConfig.ElastiCacheConfig,3,0,0,0,1,0,1,0,1,0
xlator,com.fns.xlator.client.config,ClientConfig,0,33,0,0,0,13,0,4,0,4
xlator,com.fns.xlator.client.config,AppConfig.StaticResourceConfiguration,0,32,0,0,0,9,0,3,0,3
xlator,com.fns.xlator.client.config,AppConfig,0,3,0,0,0,1,0,1,0,1
xlator,com.fns.xlator.client.config,AppConfig.LocalCacheConfig,0,23,0,0,0,6,0,2,0,2
xlator,com.fns.xlator.client.config,AppConfig.GoogleApiConfig,13,0,0,0,3,0,3,0,3,0
xlator,com.fns.xlator.client.config,AppConfig.FrenglyApiConfig,0,13,0,0,0,3,0,3,0,3
xlator,com.fns.xlator.client.config,AppConfig.MetricsConfig,0,8,0,0,0,2,0,2,0,2
xlator,com.fns.xlator.client.config,ClientConfig.CustomRestTemplateCustomizer,0,11,0,0,0,3,0,2,0,2
xlator,com.fns.xlator.client.config,AppConfig.SharedCacheConfig,23,0,0,0,11,0,3,0,3,0
xlator,com.fns.xlator.controller,TranslationController,243,20,8,0,38,7,13,1,9,1
xlator,com.fns.xlator.client.impl,TranslationException,42,0,0,0,4,0,2,0,2,0
xlator,com.fns.xlator.client.impl,ValidationUtils,64,28,3,1,9,7,4,3,1,3
xlator,com.fns.xlator.client.impl.frengly,FrenglyTranslationService,158,18,11,1,31,7,7,2,1,2
xlator,com.fns.xlator.client.impl.frengly,FrenglyClientSettings,26,23,0,0,10,9,8,3,8,3
xlator,com.fns.xlator.client.impl.frengly,FrenglyRequestWithPremiumKey,39,0,0,0,14,0,7,0,7,0
xlator,com.fns.xlator.client.impl.frengly,FrenglyTranslation,27,0,0,0,10,0,5,0,5,0
xlator,com.fns.xlator.client.impl.frengly,FrenglyRequest,33,0,0,0,12,0,6,0,6,0
xlator,com.fns.xlator,GitLoggingListener,4,20,0,0,2,6,0,3,0,3
xlator,com.fns.xlator,Application,5,3,0,0,2,1,1,1,1,1
xlator,com.fns.xlator.client.impl.google,Translation,9,0,0,0,4,0,2,0,2,0
xlator,com.fns.xlator.client.impl.google,Data,35,0,2,0,10,0,4,0,3,0
xlator,com.fns.xlator.client.impl.google,GoogleClientSettings,32,0,0,0,12,0,7,0,7,0
xlator,com.fns.xlator.client.impl.google,GoogleTranslation,16,0,0,0,7,0,3,0,3,0
xlator,com.fns.xlator.client.impl.google,GoogleTranslationService,167,0,10,0,35,0,8,0,3,0
